OTU	Domain	Phylum	Class	Order	Family	Genus	Species	Abundance
OTU7.8478001270863e+32	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	unidentified	unidentified	446
OTU3.91130055762105e+32	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Golovinomyces	Golovinomyces_sonchicola	349
OTU5.95357976788101e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	142
OTU1.94074029546815e+32	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	unidentified	676
OTU4.26674122381581e+32	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Hyphodontia	Hyphodontia_microspora	183
OTU1.66822112189717e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	Epicoccum_thailandicum	59
OTU1.69252487594775e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	Septoria_cretae	360
OTU7.14252015895429e+32	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_proliferans	33
OTU9.21394973153568e+32	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	unidentified	723
OTU6.34744269432801e+32	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideales_fam_Incertae_sedis	Hortaea	Hortaea_werneckii	1070
OTU8.77300180190492e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	7512
OTU7.31506426721513e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	99
OTU4.40021063800778e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	unidentified	unidentified	1226
OTU4.69572292908467e+31	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_orthopsilosis	74
OTU4.52661821056463e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	unidentified	unidentified	137
OTU7.21284481555656e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	251
OTU9.07392259524787e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	412
OTU6.55602564541201e+32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	unidentified	unidentified	195
OTU5.10223931448646e+32	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora_africana	112
OTU6.41872687076376e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	82
OTU4.57350637919671e+32	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Ceriporia	Ceriporia_lacerata	226
OTU1.62673242537107e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae	Neodevriesia	Neodevriesia_poagena	243
OTU8.1434023743126e+32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii	1739
OTU3.39464273277436e+32	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_albobadia	9863
OTU2.55393001433031e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta	3
OTU6.80802930041938e+32	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	unidentified	7291
OTU4.80178788036429e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	2526
OTU4.75884651498184e+32	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	unidentified	unidentified	319
OTU8.82860664424317e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified	2851
OTU8.57878863381725e+32	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	unidentified	unidentified	unidentified	3045
OTU4.34222520256501e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	231
OTU6.4749983101046e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_aphidis	1970
OTU9.38529639564571e+32	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_foliicola	148
OTU1.92334301261695e+32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neodidymelliopsis	Neodidymelliopsis_ranunculi	428
OTU8.69664969552719e+32	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_laxitexta	1529
OTU9.21930236484378e+31	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	unidentified	1
OTU1.08252737022443e+32	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	unidentified	unidentified	unidentified	2753
OTU5.52615377259311e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	10
OTU9.50720667590574e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	154
OTU8.40487552314393e+32	Fungi	Basidiomycota	Agaricomycetes	unidentified	unidentified	unidentified	unidentified	127
OTU7.41232368899659e+32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_haemulonis	6
OTU5.29298588920785e+32	Fungi	Ascomycota	Dothideomycetes	unidentified	unidentified	unidentified	unidentified	765
OTU3.19895498457718e+32	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_minioluteus	1101
OTU7.6814408309032e+32	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	Nigrospora_oryzae	654
OTU1.78635497961331e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	59
OTU3.48923472701472e+32	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	unidentified	unidentified	144
OTU4.36071950091808e+32	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus_tricholoma	854
OTU5.08336251903522e+32	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hymenochaete	Hymenochaete_yunnanensis	34
OTU4.66309341863187e+32	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_brassicicola	66
OTU4.31137319198616e+32	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia_cornea	918
OTU6.57571216176478e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	4817
OTU5.35591510866979e+32	Fungi	Basidiomycota	Agaricomycetes	Polyporales	unidentified	unidentified	unidentified	1366
OTU8.29699841404782e+32	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	Microdochium_lycopodinum	284
OTU1.52665825999996e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Paracercosporidium	Paracercosporidium_tiliae	815
OTU7.7467441204622e+32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_sympodialis	34
OTU4.23701954506654e+31	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium_leucospermi	5375
OTU2.82801738529564e+32	Fungi	Basidiomycota	Agaricomycetes	Corticiales	unidentified	unidentified	unidentified	148
OTU1.96601171323266e+32	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_scalesiae	9
OTU8.25205491908068e+32	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Hyphodermataceae	Hyphoderma	Hyphoderma_setigerum	2
OTU9.31482588578124e+32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_dendronema	544
OTU8.8996935318584e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	unidentified	unidentified	unidentified	368
OTU1.38893189214443e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	unidentified	770
OTU8.80950095487933e+32	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	unidentified	8158
OTU5.34744524245418e+32	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	1060
OTU5.02018181267829e+32	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_penicillioides	18
OTU8.28095902745506e+32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_kluyveri	167
OTU7.2784038522828e+32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_aciculare	87
