OTU	Domain	Phylum	Class	Order	Family	Genus	Species	Abundance
OTU8.56952517918628e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	NA	35
OTU1.81844786039598e+31	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Ambiguous_taxa	70
OTU7.06165507140675e+31	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	16
OTU9.19152866180816e+32	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	uncultured bacterium	67
OTU5.57898427062003e+32	Bacteria	Chloroflexi	KD4-96	uncultured bacterium	uncultured bacterium	uncultured_bacterium	uncultured bacterium	2
OTU9.90822880879875e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	NA	857
OTU3.62266316035466e+32	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	NA	2
OTU9.2155006666033e+31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA	3
OTU6.97332414194918e+31	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Kurthia	uncultured bacterium	188
OTU9.38719540419171e+32	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Ambiguous_taxa	1
OTU5.60439537372176e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	uncultured bacterium	458
OTU7.70350064735442e+32	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	uncultured bacterium	1674
OTU8.76559433161503e+32	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Ambiguous_taxa	677
OTU6.02586431277537e+32	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	NA	NA	38
OTU2.3746363913261e+32	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus	Ambiguous_taxa	50
OTU9.27676708800583e+32	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Finegoldia	uncultured bacterium	982
OTU7.02873686390113e+31	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	uncultured bacterium	3572
OTU2.94310815100438e+32	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	Ambiguous_taxa	296
OTU1.72461289769622e+32	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	uncultured bacterium	2716
OTU5.29037880323127e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	uncultured Burkholderia sp.	46
OTU9.0065058131696e+31	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	NA	75
OTU9.37118753602149e+32	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	uncultured bacterium	54
OTU2.78517032839733e+32	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA	3
OTU9.71581871890635e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA	NA	546
OTU3.74636694353342e+32	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Tychonema_CCAP_1459-11B	Ambiguous_taxa	28
OTU5.12692737798922e+32	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	uncultured bacterium	331
OTU3.51596509079002e+31	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Ambiguous_taxa	10
OTU9.10280200123527e+32	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Ambiguous_taxa	155
OTU4.13764224348942e+32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Ambiguous_taxa	199
